Date,Open,High,Low,Close,Adj Close,Volume
2020-08-13,635.150024,645.299988,628.400024,631.450012,624.421814,5773589
2020-08-14,634.000000,637.849976,607.549988,614.450012,607.611023,3622823
2020-08-17,628.000000,632.000000,613.799988,623.599976,616.659180,5687622
2020-08-18,625.000000,632.750000,618.599976,622.650024,615.719788,3989439
2020-08-19,627.000000,631.900024,622.000000,623.900024,616.955872,2762486
2020-08-20,620.000000,623.000000,610.000000,612.049988,605.237732,3165784
2020-08-21,620.000000,620.950012,608.000000,609.799988,603.012756,4191258
2020-08-24,613.000000,615.700012,601.000000,601.950012,595.250183,3707968
2020-08-25,605.000000,612.400024,601.500000,609.349976,602.567810,4248590
2020-08-26,613.000000,625.500000,610.500000,613.349976,606.523254,5814785
2020-08-27,619.150024,639.299988,615.599976,636.750000,629.662842,7637436
2020-08-28,642.250000,647.000000,629.349976,631.400024,624.372437,7809917
2020-08-31,637.000000,640.500000,602.099976,606.900024,600.145081,5012805
2020-09-01,610.000000,621.549988,605.000000,607.549988,600.787842,5572232
2020-09-02,608.000000,645.900024,602.049988,642.750000,635.596069,7887097
2020-09-03,640.500000,656.000000,632.000000,644.650024,637.474915,9194655
2020-09-04,629.000000,649.799988,626.299988,632.000000,624.965698,5889085
2020-09-07,632.299988,633.849976,605.299988,610.450012,603.655579,9387992
2020-09-08,611.000000,624.500000,605.299988,608.599976,601.826111,6825892
2020-09-09,606.799988,617.000000,597.400024,613.900024,607.067200,6589023
2020-09-10,619.500000,623.900024,612.900024,615.450012,608.599915,4699612
2020-09-11,614.900024,621.900024,612.099976,614.250000,607.413269,2837723
2020-09-14,615.000000,629.400024,611.900024,615.299988,608.451538,4918699
2020-09-15,619.250000,624.000000,611.950012,613.450012,606.622192,3805649
2020-09-16,616.000000,649.799988,616.000000,639.450012,632.332825,18993356
2020-09-17,631.000000,643.500000,627.650024,636.799988,629.712280,6363964
2020-09-18,640.000000,659.400024,634.549988,654.150024,646.869202,13518207
2020-09-21,657.000000,666.599976,615.450012,622.450012,615.522034,9301954
2020-09-22,622.450012,624.250000,603.000000,615.799988,608.945984,5369370
2020-09-23,622.049988,623.349976,603.250000,612.599976,605.781616,4116481
2020-09-24,605.000000,606.400024,567.500000,575.099976,568.698975,8991885
2020-09-25,583.900024,595.450012,576.599976,592.299988,585.707581,5415792
2020-09-28,595.000000,618.000000,593.099976,615.250000,608.402161,5494528
2020-09-29,615.250000,626.500000,603.099976,613.200012,606.374939,5747565
2020-09-30,615.950012,623.000000,605.549988,607.900024,601.133972,4990827
2020-10-01,614.700012,621.900024,608.150024,610.150024,603.358948,3842191
2020-10-05,615.000000,616.250000,597.099976,607.000000,600.243958,5977261
2020-10-06,611.599976,633.000000,609.000000,627.400024,620.416931,9071955
2020-10-07,629.900024,636.900024,625.000000,631.599976,624.570129,6086867
2020-10-08,634.150024,640.950012,627.599976,634.150024,627.091797,4683786
2020-10-09,634.150024,647.450012,628.299988,633.200012,626.152344,4972397
2020-10-12,637.900024,639.700012,630.000000,634.400024,627.338989,3247640
2020-10-13,634.349976,642.000000,624.349976,627.900024,620.911377,3769222
2020-10-14,623.400024,627.799988,616.299988,623.849976,616.906372,2776984
2020-10-15,620.950012,633.000000,614.099976,617.299988,610.429321,3794955
2020-10-16,617.500000,623.950012,602.049988,606.650024,599.897888,4274910
2020-10-19,612.700012,614.500000,595.200012,597.450012,590.800293,3646287
2020-10-20,597.400024,609.000000,590.299988,602.250000,595.546814,4377671
2020-10-21,606.900024,610.799988,592.200012,600.849976,594.162415,3684706
2020-10-22,599.799988,606.950012,594.099976,604.349976,597.623413,3818694
2020-10-23,609.750000,628.000000,605.349976,625.150024,618.191956,6421723
2020-10-26,624.950012,625.849976,594.599976,597.150024,590.503601,4800537
2020-10-27,600.400024,605.000000,593.500000,597.150024,590.503601,5712121
2020-10-28,599.000000,613.000000,594.200012,604.150024,597.425720,6811118
2020-10-29,598.200012,604.150024,590.250000,591.950012,585.361511,3680773
2020-10-30,592.549988,601.750000,586.799988,594.000000,587.388672,4209087
2020-11-02,592.000000,599.900024,589.000000,596.049988,589.415833,4085120
2020-11-03,599.299988,605.450012,594.000000,595.799988,589.168579,3669816
2020-11-04,597.799988,603.650024,592.000000,596.799988,590.157471,2475177
2020-11-05,603.299988,607.400024,599.250000,602.099976,595.398499,3794240
2020-11-06,603.000000,619.299988,601.700012,613.599976,606.770447,5908936
2020-11-09,621.000000,622.000000,610.200012,616.349976,609.489868,3819808
2020-11-10,622.000000,627.700012,611.000000,619.950012,613.049866,7876161
2020-11-11,625.000000,644.549988,622.150024,633.200012,626.152344,7561527
2020-11-12,633.049988,654.400024,629.500000,632.700012,625.657898,6913788
2020-11-13,633.950012,638.950012,628.049988,629.849976,622.839600,4107823
2020-11-14,634.500000,634.500000,629.849976,631.349976,624.322937,295788
2020-11-17,639.000000,646.000000,633.650024,637.250000,630.157288,6173551
2020-11-18,637.200012,709.950012,637.000000,705.750000,697.894836,32986476
2020-11-19,699.000000,728.400024,692.299988,703.900024,696.065491,15336768
2020-11-20,710.000000,718.549988,697.400024,715.599976,707.635193,6730897
2020-11-23,716.400024,720.750000,699.000000,705.450012,697.598206,4484068
2020-11-24,710.000000,745.500000,706.250000,729.349976,721.232178,16121626
2020-11-25,732.000000,732.950012,716.000000,719.950012,711.936829,5423034
2020-11-26,722.000000,736.799988,720.000000,728.500000,720.391663,6798860
2020-11-27,736.900024,742.950012,711.000000,722.000000,713.963989,11302666
2020-12-01,736.400024,736.500000,708.049988,734.549988,726.374268,5710611
2020-12-02,734.000000,758.000000,730.549988,753.599976,745.212219,6337698
2020-12-03,750.049988,756.349976,743.700012,745.849976,737.548523,2957787
2020-12-04,749.099976,764.450012,743.200012,750.549988,742.196228,5356456
2020-12-07,750.000000,755.849976,744.049988,752.299988,743.926758,3525945
2020-12-08,753.349976,764.000000,743.549988,754.000000,745.607849,4333519
2020-12-09,756.799988,762.950012,750.200012,755.000000,746.596680,3213975
2020-12-10,745.000000,754.950012,731.049988,736.150024,727.956543,3814006
2020-12-11,738.900024,746.700012,722.099976,727.549988,719.452209,4197494
2020-12-14,731.650024,737.400024,710.000000,711.700012,703.778625,4183639
2020-12-15,710.000000,720.000000,701.000000,717.950012,709.959045,5495877
2020-12-16,737.099976,746.250000,726.200012,731.950012,723.803223,11262389
2020-12-17,735.099976,738.450012,725.349976,730.650024,722.517761,3630553
2020-12-18,726.099976,737.950012,722.549988,733.599976,725.434875,6671658
2020-12-21,729.000000,730.000000,660.250000,685.950012,678.315247,9130116
2020-12-22,688.799988,699.349976,667.299988,695.049988,687.313904,7305751
2020-12-23,693.000000,715.000000,688.250000,711.500000,703.580872,4383472
2020-12-24,712.500000,722.549988,700.099976,710.900024,702.987549,3373695
2020-12-28,715.400024,718.799988,707.299988,710.950012,703.036987,2484872
2020-12-29,714.500000,717.000000,704.000000,707.049988,699.180359,2808820
2020-12-30,710.000000,724.299988,704.349976,720.700012,712.678467,3219036
2020-12-31,719.750000,725.549988,713.500000,720.599976,712.579529,3723205
2021-01-01,725.000000,744.750000,723.000000,732.450012,724.297668,9543128
2021-01-04,735.000000,751.000000,727.250000,749.099976,740.762329,4547027
2021-01-05,748.000000,748.000000,730.000000,740.099976,731.862488,3551554
2021-01-06,741.000000,746.450012,730.450012,736.099976,727.907043,3601608
2021-01-07,743.000000,755.000000,740.099976,744.400024,736.114685,4063641
2021-01-08,750.000000,772.799988,745.000000,770.500000,761.924194,5998381
2021-01-11,773.049988,791.400024,763.200012,789.099976,780.317139,6643610
2021-01-12,789.950012,796.750000,777.400024,779.849976,771.170105,5532160
2021-01-13,784.599976,837.500000,782.250000,828.349976,819.130249,19610461
2021-01-14,828.900024,843.849976,827.349976,829.900024,820.663086,8576718
2021-01-15,828.000000,838.000000,815.349976,819.650024,810.527161,4996951
2021-01-18,817.900024,820.799988,797.150024,809.000000,799.995667,3955069
2021-01-19,810.000000,819.599976,801.549988,808.049988,799.056213,3991167
